molecule,smiles,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,ZPE_eV,ZPE_pos_eV,ZPE_neg_eV,aEA_eV,aIP_eV,D4_disp_corr_eV,n_rings,Erel_eV,NFOD,HOMO_eV_corrected,LUMO_eV_corrected,GAP_eV_corrected,aIP_eV_corrected,aEA_eV_corrected
hc_c24h14_0pent_7,c1ccc2c(c1)ccc1c2cc2ccc3cccc4ccc1c2c34,-9.743,-7.69,2.053,0.034,-1593.753,-1582.161,-1599.619,7.92,7.885,7.837,-5.866,11.592,-1.391,6,0.061,0.504,-6.601,-1.153,5.445,7.135,-0.708
hc_c24h14_0pent_8,c1ccc2c(c1)cc1c3ccccc3c3cccc4ccc2c1c43,-9.818,-7.578,2.241,0.021,-1593.762,-1582.06,-1599.487,7.924,7.881,7.831,-5.725,11.701,-1.409,6,0.052,0.439,-6.718,-1.009,5.712,7.292,-0.536
hc_c24h14_0pent_9,c1ccc2c(c1)cc1ccc3c4ccccc4cc4ccc2c1c43,-9.576,-7.883,1.693,0.004,-1593.614,-1582.182,-1599.661,7.914,7.887,7.837,-6.048,11.432,-1.391,6,0.2,0.643,-6.342,-1.401,4.933,6.905,-0.929
hc_c26h14_0pent_10,c1cc2ccc3c4ccc5cccc6ccc(c7ccc(c1)c2c37)c4c56,-9.552,-7.928,1.624,0.001,-1710.933,-1699.596,-1717.097,8.255,8.231,8.183,-6.164,11.337,-1.557,7,0.177,0.694,-6.304,-1.459,4.835,6.768,-1.07
hc_c26h14_0pent_2,c1ccc2c(c1)cc1ccc3cc4cccc5ccc6cc2c1c3c6c54,-9.554,-7.933,1.622,0.052,-1710.885,-1699.523,-1717.03,8.249,8.225,8.175,-6.145,11.362,-1.544,7,0.225,0.721,-6.307,-1.465,4.832,6.804,-1.047
hc_c26h14_0pent_3,c1ccc2c(c1)cc1cc3ccc4cccc5cc6ccc2c1c6c3c45,-9.437,-8.072,1.365,0.044,-1710.757,-1699.507,-1717.033,8.243,8.224,8.174,-6.276,11.25,-1.543,7,0.353,0.863,-6.125,-1.644,4.467,6.642,-1.206
hc_c26h14_0pent_4,c1cc2ccc3cc4cccc5c6ccccc6c6cc(c1)c2c3c6c45,-9.632,-7.836,1.796,0.048,-1710.928,-1699.442,-1716.931,8.255,8.224,8.174,-6.003,11.485,-1.561,7,0.182,0.625,-6.429,-1.341,5.08,6.981,-0.874
hc_c26h14_0pent_5,c1cc2ccc3ccc4c5cccc6cccc(c7cc(c1)c2c3c47)c65,-9.557,-7.916,1.64,0.04,-1710.886,-1699.527,-1717.021,8.255,8.23,8.18,-6.135,11.36,-1.558,7,0.224,0.691,-6.312,-1.443,4.858,6.801,-1.035
hc_c26h14_0pent_7,c1ccc2c(c1)cc1c3cccc4ccc5ccc6ccc2c1c6c5c43,-9.779,-7.642,2.137,0.05,-1711.092,-1699.491,-1716.94,8.261,8.225,8.172,-5.848,11.601,-1.559,7,0.018,0.517,-6.657,-1.091,5.565,7.148,-0.686
hc_c26h14_0pent_8,c1ccc2c(c1)c1cccc3c4cccc5ccc6ccc2c(c13)c6c54,-9.885,-7.503,2.381,0.038,-1711.11,-1699.394,-1716.813,8.267,8.222,8.17,-5.703,11.716,-1.574,7,0.0,0.443,-6.822,-0.912,5.911,7.314,-0.51
hc_c26h14_0pent_9,c1ccc2c(c1)c1ccc3cccc4c5cccc6ccc2c(c65)c1c34,-9.724,-7.702,2.023,0.022,-1711.033,-1699.473,-1716.923,8.263,8.226,8.177,-5.89,11.56,-1.574,7,0.077,0.525,-6.572,-1.168,5.403,7.089,-0.737
hc_c28h14_0pent_1,c1cc2cc3cccc4c5cccc6cc7cccc8c(c1)c2c(c34)c(c78)c65,-9.253,-8.261,0.993,0.0,-1827.785,-1816.744,-1834.271,8.575,8.564,8.517,-6.487,11.041,-1.726,8,0.721,1.155,-5.839,-1.887,3.938,6.341,-1.463
hc_c28h14_0pent_2,c1cc2ccc3cc4cccc5c6cccc7ccc8c(c1)c2c3c(c45)c8c76,-9.589,-7.881,1.708,0.026,-1828.225,-1816.849,-1834.34,8.594,8.567,8.517,-6.115,11.376,-1.726,8,0.281,0.698,-6.362,-1.398,4.955,6.824,-1.011
hc_c28h14_0pent_3,c1cc2ccc3cc4ccc5cccc6c7cccc8c(c1)c2c3c(c87)c4c56,-9.883,-7.526,2.357,0.055,-1828.351,-1816.693,-1834.12,8.599,8.534,8.467,-5.769,11.657,-1.726,8,0.155,0.559,-6.819,-0.942,5.877,7.229,-0.59
hc_c28h14_0pent_4,c1cc2ccc3cc4ccc5ccc6cccc7c8cc(c1)c2c3c8c4c5c67,-9.613,-7.871,1.741,0.024,-1828.275,-1816.886,-1834.391,8.592,8.566,8.514,-6.115,11.389,-1.712,8,0.231,0.694,-6.399,-1.386,5.002,6.843,-1.011
hc_c28h14_0pent_5,c1cc2ccc3cc4cc5cccc6ccc7cc8cc(c1)c2c3c8c4c7c65,-9.351,-8.196,1.155,0.001,-1827.898,-1816.773,-1834.336,8.573,8.559,8.508,-6.438,11.124,-1.695,8,0.608,1.074,-5.992,-1.804,4.169,6.461,-1.403
hc_c28h14_0pent_7,c1cc2ccc3c4ccc5cccc6cc7ccc8cc(c1)c2c3c8c7c4c56,-9.424,-8.095,1.329,0.027,-1828.073,-1816.888,-1834.423,8.584,8.567,8.517,-6.35,11.185,-1.71,8,0.433,0.908,-6.105,-1.674,4.416,6.549,-1.296
hc_c28h14_0pent_8,c1cc2ccc3ccc4c5cccc6ccc7ccc8c(c1)c2c3c4c8c7c65,-9.748,-7.692,2.056,0.007,-1828.413,-1816.899,-1834.366,8.601,8.568,8.516,-5.952,11.514,-1.725,8,0.093,0.555,-6.609,-1.155,5.449,7.023,-0.812
hc_c28h14_0pent_9,c1ccc2c(c1)c1ccc3ccc4ccc5ccc6ccc2c2c6c5c4c3c12,-9.896,-7.514,2.382,0.051,-1828.506,-1816.822,-1834.258,8.604,8.549,8.494,-5.753,11.683,-1.726,8,0.0,0.492,-6.839,-0.926,5.913,7.267,-0.571
hc_c28h16_0pent_12,c1ccc2cc3c(cc2c1)c1cccc2ccc4c5ccccc5cc3c4c21,-9.854,-7.54,2.314,0.025,-1854.832,-1843.233,-1860.65,9.149,9.091,9.031,-5.817,11.6,-1.669,7,0.122,0.554,-6.774,-0.96,5.816,7.147,-0.648
hc_c28h16_0pent_14,c1ccc2c(c1)ccc1cc3c(cc12)c1cccc2ccc4cccc3c4c21,-9.962,-7.42,2.542,0.044,-1854.954,-1843.277,-1860.685,9.155,9.093,9.04,-5.73,11.677,-1.666,7,0.0,0.487,-6.942,-0.805,6.14,7.258,-0.543
hc_c28h16_0pent_15,c1ccc2cc3cc4c(cc3cc2c1)c1cccc2ccc3cccc4c3c21,-9.698,-7.774,1.925,0.034,-1854.722,-1843.237,-1860.703,9.141,9.091,9.033,-5.982,11.485,-1.647,7,0.232,0.676,-6.531,-1.261,5.263,6.981,-0.849
hc_c28h16_0pent_19,c1ccc2c(c1)ccc1cc3cc4ccc5cccc6ccc(c3cc12)c4c56,-9.64,-7.826,1.815,0.033,-1854.808,-1843.419,-1860.901,9.145,9.112,9.06,-6.093,11.389,-1.647,7,0.146,0.673,-6.441,-1.328,5.107,6.843,-0.984
hc_c28h16_0pent_20,c1ccc2cc3cc4c(cc3cc2c1)cc1ccc2cccc3ccc4c1c23,-9.436,-8.071,1.365,0.035,-1854.525,-1843.386,-1860.91,9.129,9.11,9.059,-6.386,11.138,-1.628,7,0.429,0.951,-6.124,-1.643,4.467,6.481,-1.34
hc_c28h16_0pent_21,c1ccc2c(c1)ccc1cc3c(cc4ccc5cccc6ccc3c4c56)cc12,-9.621,-7.842,1.779,0.045,-1854.821,-1843.475,-1860.955,9.146,9.117,9.067,-6.134,11.346,-1.644,7,0.133,0.677,-6.411,-1.348,5.056,6.781,-1.034
hc_c28h16_0pent_22,c1ccc2cc3c(cc2c1)cc1c2ccccc2c2cccc4ccc3c1c42,-9.648,-7.804,1.844,0.02,-1854.758,-1843.363,-1860.834,9.146,9.113,9.064,-6.076,11.395,-1.666,7,0.196,0.645,-6.453,-1.299,5.148,6.851,-0.963
hc_c28h16_0pent_23,c1ccc2cc3c(cc2c1)cc1ccc2c4ccccc4cc4ccc3c1c42,-9.449,-8.039,1.411,0.008,-1854.588,-1843.42,-1860.925,9.134,9.114,9.065,-6.336,11.168,-1.646,7,0.366,0.884,-6.144,-1.602,4.533,6.524,-1.279
hc_c28h16_0pent_24,c1ccc2cc3c(cc2c1)cc1ccc2cc4ccccc4c4ccc3c1c24,-9.583,-7.877,1.706,0.046,-1854.704,-1843.407,-1860.887,9.14,9.114,9.064,-6.183,11.297,-1.646,7,0.25,0.746,-6.352,-1.393,4.952,6.71,-1.093
hc_c28h16_0pent_28,c1ccc2c(c1)ccc1c2ccc2c1cc1ccc3cccc4ccc2c1c34,-9.705,-7.733,1.973,0.051,-1854.854,-1843.428,-1860.885,9.151,9.116,9.069,-6.031,11.425,-1.659,7,0.1,0.595,-6.542,-1.208,5.331,6.895,-0.909
hc_c28h16_0pent_29,c1ccc2cc3c(ccc4c3cc3ccc5cccc6ccc4c3c56)cc2c1,-9.698,-7.751,1.947,0.024,-1854.78,-1843.395,-1860.869,9.144,9.112,9.063,-6.088,11.386,-1.646,7,0.174,0.661,-6.531,-1.231,5.295,6.838,-0.978
hc_c28h16_0pent_35,c1ccc2c(c1)ccc1c2cc2c3ccccc3c3cccc4ccc1c2c43,-9.81,-7.586,2.224,0.028,-1854.896,-1843.339,-1860.764,9.155,9.117,9.067,-5.868,11.557,-1.685,7,0.058,0.504,-6.705,-1.019,5.688,7.085,-0.71
hc_c28h16_0pent_37,c1ccc2c(c1)ccc1c2cc2ccc3c4ccccc4cc4ccc1c2c43,-9.598,-7.856,1.742,0.017,-1854.777,-1843.441,-1860.911,9.147,9.118,9.071,-6.134,11.336,-1.661,7,0.177,0.68,-6.376,-1.366,5.003,6.766,-1.034
hc_c28h16_0pent_39,c1ccc2c(c1)ccc1c2cc2ccc3cc4ccccc4c4ccc1c2c34,-9.654,-7.783,1.871,0.027,-1854.833,-1843.453,-1860.91,9.15,9.119,9.072,-6.078,11.38,-1.661,7,0.121,0.627,-6.463,-1.272,5.186,6.83,-0.966
hc_c30h14_0pent_1,c1cc2cc3ccc4cc5cccc6cc7ccc8cc(c1)c2c1c3c4c(c56)c7c81,-9.35,-8.205,1.145,0.0,-1945.196,-1934.114,-1951.683,8.912,8.899,8.848,-6.487,11.082,-1.866,9,0.531,1.116,-5.99,-1.815,4.154,6.4,-1.463
hc_c30h14_0pent_3,c1cc2cc3ccc4ccc5ccc6cc7cccc8c(c1)c2c1c3c4c5c6c1c78,-9.457,-8.053,1.403,0.018,-1945.446,-1934.243,-1951.771,8.925,8.907,8.855,-6.324,11.203,-1.88,9,0.281,0.887,-6.156,-1.62,4.521,6.574,-1.265
hc_c30h14_0pent_4,c1cc2ccc3cc4ccc5ccc6ccc7ccc8c(c1)c2c3c1c4c5c6c7c81,-9.74,-7.723,2.017,0.038,-1945.727,-1934.245,-1951.731,8.936,8.901,8.847,-6.004,11.482,-1.879,9,0.0,0.631,-6.597,-1.195,5.394,6.977,-0.876
hc_c30h16_0pent_11,c1ccc2cc3c(cc2c1)cc1ccc2cc4cccc5ccc6cc3c1c2c6c54,-9.499,-8.001,1.498,0.065,-1971.907,-1960.733,-1978.249,9.472,9.451,9.401,-6.342,11.174,-1.8,8,0.314,0.899,-6.222,-1.553,4.656,6.533,-1.287
hc_c30h16_0pent_12,c1ccc2c(c1)ccc1c2cc2ccc3cc4cccc5ccc6cc1c2c3c6c54,-9.525,-7.967,1.558,0.067,-1972.008,-1960.785,-1978.292,9.48,9.456,9.408,-6.283,11.223,-1.816,8,0.213,0.807,-6.262,-1.509,4.741,6.603,-1.215
hc_c30h16_0pent_13,c1ccc2c(c1)cc1ccc3cc4c5ccccc5cc5ccc6cc2c1c3c6c54,-9.496,-7.987,1.51,0.001,-1971.993,-1960.811,-1978.309,9.479,9.458,9.409,-6.317,11.182,-1.818,8,0.228,0.835,-6.217,-1.535,4.673,6.544,-1.256
hc_c30h16_0pent_14,c1ccc2c(c1)cc1cc3ccc4cc5ccccc5c5cc6ccc2c1c6c3c45,-9.443,-8.053,1.391,0.041,-1971.91,-1960.771,-1978.281,9.476,9.457,9.408,-6.371,11.138,-1.815,8,0.311,0.913,-6.135,-1.62,4.504,6.481,-1.322
hc_c30h16_0pent_15,c1ccc2c(c1)cc1cc3ccc4c5ccccc5cc5cc6ccc2c1c6c3c54,-9.305,-8.215,1.09,0.002,-1971.735,-1960.73,-1978.261,9.467,9.455,9.406,-6.525,11.006,-1.814,8,0.486,1.12,-5.92,-1.828,4.076,6.29,-1.509
hc_c30h16_0pent_16,c1ccc2c(c1)cc1cc3c4ccccc4c4cccc5cc6ccc2c1c6c3c54,-9.478,-8.007,1.471,0.028,-1971.932,-1960.718,-1978.219,9.481,9.457,9.409,-6.287,11.214,-1.833,8,0.289,0.841,-6.189,-1.561,4.618,6.59,-1.22
hc_c30h16_0pent_17,c1ccc2c(c1)ccc1c2cc2cc3ccc4cccc5cc6ccc1c2c6c3c45,-9.46,-8.046,1.414,0.062,-1971.93,-1960.763,-1978.281,9.477,9.456,9.408,-6.351,11.167,-1.814,8,0.291,0.889,-6.161,-1.611,4.537,6.523,-1.298
hc_c30h16_0pent_18,c1ccc2cc3c(cc2c1)cc1cc2ccc4cccc5cc6ccc3c1c6c2c45,-9.334,-8.192,1.143,0.06,-1971.729,-1960.711,-1978.251,9.464,9.45,9.401,-6.523,11.018,-1.798,8,0.492,1.115,-5.965,-1.798,4.152,6.308,-1.507
hc_c30h16_0pent_20,c1ccc2c(c1)cc1ccc3cc4cccc5c6ccccc6c6cc2c1c3c6c45,-9.594,-7.868,1.726,0.046,-1972.04,-1960.716,-1978.197,9.485,9.456,9.408,-6.157,11.324,-1.839,8,0.181,0.718,-6.369,-1.382,4.98,6.749,-1.062
hc_c30h16_0pent_22,c1ccc2c(c1)cc1c3ccccc3c3cc4cccc5ccc6cc2c1c3c6c54,-9.608,-7.851,1.757,0.064,-1972.054,-1960.723,-1978.203,9.486,9.456,9.408,-6.149,11.331,-1.84,8,0.167,0.699,-6.391,-1.36,5.024,6.759,-1.052
hc_c30h16_0pent_25,c1ccc2cc3c(cc2c1)c1cccc2cc4ccc5cccc6cc3c(c21)c4c56,-9.655,-7.813,1.842,0.062,-1972.0,-1960.594,-1978.071,9.48,9.437,9.381,-6.071,11.406,-1.821,8,0.221,0.738,-6.464,-1.311,5.145,6.867,-0.957
hc_c30h16_0pent_27,c1cc2cccc3c4cc5cc6cccc7ccc8ccc(c4cc(c1)c23)c5c8c76,-9.321,-8.198,1.123,0.04,-1971.703,-1960.704,-1978.238,9.471,9.455,9.408,-6.535,10.999,-1.813,8,0.518,1.109,-5.945,-1.806,4.123,6.28,-1.521
hc_c30h16_0pent_43,c1ccc2c(c1)cc1c3cc4ccccc4c4ccc5ccc6ccc2c1c6c5c43,-9.758,-7.661,2.097,0.022,-1972.186,-1960.713,-1978.155,9.49,9.454,9.404,-5.97,11.473,-1.835,8,0.035,0.609,-6.625,-1.115,5.508,6.964,-0.834
hc_c30h16_0pent_45,c1ccc2c(c1)ccc1c2cc2c3cccc4ccc5ccc6ccc1c2c6c5c43,-9.748,-7.682,2.066,0.066,-1972.221,-1960.774,-1978.228,9.491,9.457,9.407,-6.007,11.447,-1.835,8,0.0,0.59,-6.609,-1.142,5.464,6.926,-0.879
hc_c30h16_0pent_46,c1ccc2cc3c(cc2c1)cc1c2cccc4ccc5ccc6ccc3c1c6c5c42,-9.648,-7.818,1.831,0.054,-1972.096,-1960.748,-1978.232,9.483,9.453,9.401,-6.136,11.348,-1.816,8,0.125,0.713,-6.453,-1.317,5.13,6.784,-1.036
hc_c30h16_0pent_57,c1ccc2c(c1)cc1c3cccc4ccc5c6ccccc6c6ccc2c1c6c5c43,-9.705,-7.717,1.988,0.053,-1972.135,-1960.705,-1978.148,9.492,9.457,9.409,-6.013,11.43,-1.851,8,0.086,0.607,-6.542,-1.187,5.353,6.902,-0.887
hc_c30h16_0pent_60,c1ccc2cc3c(cc2c1)c1ccc2cccc4c5cccc6ccc3c(c65)c1c24,-9.62,-7.836,1.784,0.032,-1972.057,-1960.743,-1978.22,9.485,9.456,9.406,-6.163,11.314,-1.835,8,0.164,0.702,-6.41,-1.341,5.063,6.735,-1.069
hc_c30h16_0pent_62,c1cc2ccc3cc4c(cc5ccc6cccc7ccc4c5c67)c4ccc(c1)c2c34,-9.543,-7.942,1.601,0.001,-1972.042,-1960.849,-1978.355,9.482,9.46,9.414,-6.313,11.193,-1.813,8,0.179,0.794,-6.29,-1.477,4.803,6.56,-1.251
hc_c30h16_0pent_67,c1ccc2c(c1)cc1ccc3c4ccc5cccc6ccc(c7ccc2c1c37)c4c56,-9.475,-8.006,1.469,0.048,-1971.986,-1960.84,-1978.338,9.483,9.463,9.416,-6.352,11.146,-1.828,8,0.235,0.843,-6.184,-1.559,4.615,6.492,-1.299
hc_c32h14_0pent_1,c1cc2ccc3cc4ccc5ccc6ccc7cc8ccc1c1c2c3c2c4c5c6c7c2c81,-9.646,-7.858,1.789,0.001,-2063.006,-2051.651,-2069.173,9.269,9.241,9.186,-6.167,11.356,-2.034,10,0.0,0.743,-6.45,-1.369,5.07,6.795,-1.074
hc_c32h16_0pent_10,c1ccc2c(c1)cc1c3cccc4cc5ccc6cccc7c8ccc2c1c8c(c43)c5c67,-9.591,-7.869,1.721,0.081,-2089.331,-2078.052,-2095.529,9.824,9.796,9.746,-6.198,11.279,-2.003,9,0.259,0.775,-6.365,-1.383,4.973,6.684,-1.112
hc_c32h16_0pent_12,c1cc2cccc3c4cc5ccc6cccc7c8cccc9cc(c(c1)c23)c4c(c98)c5c67,-9.628,-7.831,1.796,0.024,-2089.309,-2078.005,-2095.482,9.825,9.794,9.743,-6.173,11.305,-2.003,9,0.281,0.771,-6.422,-1.334,5.08,6.722,-1.081
hc_c32h16_0pent_15,c1ccc2c(c1)cc1c3cccc4c5cccc6ccc7cc8ccc2c1c8c(c43)c7c65,-9.73,-7.709,2.021,0.057,-2089.408,-2077.99,-2095.447,9.827,9.783,9.731,-6.039,11.417,-2.002,9,0.182,0.693,-6.581,-1.177,5.4,6.883,-0.918
hc_c32h16_0pent_19,c1ccc2c(c1)cc1c3cc4cccc5ccc6cc7ccc8ccc2c1c8c7c3c6c54,-9.616,-7.861,1.756,0.079,-2089.374,-2078.078,-2095.571,9.822,9.794,9.743,-6.197,11.296,-1.988,9,0.216,0.778,-6.404,-1.373,5.023,6.709,-1.11
hc_c32h16_0pent_21,c1cc2ccc3cc4c5ccccc5c5ccc6cccc7c8cc(c1)c2c3c8c4c5c67,-9.575,-7.904,1.671,0.063,-2089.348,-2078.085,-2095.581,9.825,9.798,9.75,-6.233,11.263,-2.006,9,0.242,0.768,-6.34,-1.428,4.902,6.661,-1.154
hc_c32h16_0pent_22,c1ccc2c(c1)c1cccc3cc4c5cccc6ccc7ccc8cc2c(c31)c4c8c7c65,-9.661,-7.794,1.867,0.04,-2089.435,-2078.082,-2095.557,9.829,9.798,9.747,-6.122,11.353,-2.004,9,0.155,0.688,-6.474,-1.287,5.181,6.791,-1.019
hc_c32h16_0pent_23,c1ccc2c(c1)cc1cc3c4cccc5ccc6ccc7cc8ccc2c1c8c3c7c6c54,-9.482,-8.017,1.466,0.027,-2089.294,-2078.138,-2095.65,9.818,9.798,9.748,-6.356,11.156,-1.984,9,0.296,0.893,-6.195,-1.573,4.611,6.507,-1.304
hc_c32h16_0pent_24,c1ccc2c(c1)cc1ccc3cc4ccc5ccc6cccc7c8cc2c1c3c8c4c5c67,-9.557,-7.926,1.631,0.04,-2089.379,-2078.161,-2095.661,9.821,9.799,9.748,-6.282,11.218,-1.99,9,0.211,0.801,-6.312,-1.456,4.845,6.596,-1.214
hc_c32h16_0pent_26,c1cc2ccc3cc4cc5cccc6c7ccccc7c7cc8cc(c1)c2c3c8c4c7c56,-9.378,-8.149,1.229,0.062,-2089.073,-2077.987,-2095.527,9.81,9.792,9.744,-6.454,11.086,-1.986,9,0.517,1.054,-6.034,-1.743,4.274,6.406,-1.423
hc_c32h16_0pent_28,c1ccc2c(c1)cc1ccc3cc4cc5cccc6ccc7cc8cc2c1c3c8c4c7c65,-9.364,-8.17,1.193,0.076,-2089.06,-2078.035,-2095.581,9.806,9.791,9.742,-6.521,11.025,-1.969,9,0.53,1.113,-6.012,-1.77,4.223,6.318,-1.504
hc_c32h16_0pent_3,c1ccc2c(c1)cc1c3cccc4cc5cccc6c7cccc8cc2c1c(c87)c(c56)c43,-9.283,-8.22,1.063,0.062,-2088.966,-2077.993,-2095.508,9.808,9.795,9.749,-6.542,10.973,-2.006,9,0.624,1.161,-5.886,-1.835,4.038,6.243,-1.53
hc_c32h16_0pent_37,c1cc2ccc3c4ccc5cccc6cc7c8ccccc8c8cc(c1)c2c3c8c7c4c56,-9.464,-8.036,1.429,0.014,-2089.238,-2078.085,-2095.601,9.821,9.799,9.752,-6.363,11.153,-2.007,9,0.352,0.886,-6.167,-1.598,4.558,6.502,-1.312
hc_c32h16_0pent_38,c1ccc2c(c1)cc1ccc3c4ccc5cccc6cc7ccc8cc2c1c3c8c7c4c56,-9.365,-8.152,1.213,0.06,-2089.156,-2078.14,-2095.669,9.812,9.798,9.75,-6.513,11.016,-1.985,9,0.434,1.045,-6.013,-1.747,4.251,6.305,-1.495
hc_c32h16_0pent_39,c1ccc2c(c1)cc1cc3ccc4cc5cccc6ccc7c8ccc2c1c8c3c4c7c65,-9.353,-8.165,1.188,0.08,-2089.128,-2078.121,-2095.65,9.812,9.798,9.75,-6.521,11.007,-1.983,9,0.462,1.069,-5.995,-1.764,4.215,6.292,-1.504
hc_c32h16_0pent_42,c1ccc2c(c1)cc1c3ccc4ccc5cccc6c7ccc8ccc2c1c8c7c3c4c56,-9.671,-7.78,1.892,0.039,-2089.481,-2078.149,-2095.62,9.829,9.8,9.75,-6.14,11.332,-2.001,9,0.109,0.676,-6.489,-1.269,5.216,6.76,-1.041
hc_c32h16_0pent_46,c1ccc2c(c1)c1ccc3ccc4c5ccccc5c5ccc6ccc2c2c6c5c4c3c12,-9.779,-7.644,2.135,0.008,-2089.554,-2078.082,-2095.524,9.836,9.792,9.742,-5.969,11.473,-2.017,9,0.036,0.583,-6.657,-1.094,5.562,6.964,-0.833
hc_c32h16_0pent_47,c1ccc2c(c1)c1ccc3ccc4ccc5c6ccccc6c6ccc2c2c1c3c4c5c62,-9.89,-7.505,2.385,0.052,-2089.59,-2078.017,-2095.436,9.837,9.781,9.735,-5.847,11.573,-2.018,9,0.0,0.548,-6.83,-0.915,5.917,7.108,-0.685
hc_c32h16_0pent_5,c1ccc2c(c1)cc1c3ccc4cccc5c6cccc7cc8ccc2c1c8c(c76)c3c45,-9.473,-8.012,1.461,0.049,-2089.243,-2078.09,-2095.591,9.82,9.798,9.75,-6.348,11.153,-2.003,9,0.347,0.887,-6.181,-1.567,4.604,6.502,-1.294
hc_c32h16_0pent_50,c1ccc2cc3c(cc2c1)c1ccc2ccc4ccc5ccc6ccc3c3c6c5c4c2c13,-9.751,-7.701,2.05,0.065,-2089.543,-2078.135,-2095.608,9.827,9.79,9.736,-6.065,11.409,-1.987,9,0.047,0.653,-6.614,-1.167,5.441,6.871,-0.95
hc_c32h16_0pent_51,c1cc2ccc3c4ccc5cc6cccc7ccc8cc(c9ccc(c1)c2c39)c4c5c8c76,-9.374,-8.148,1.226,0.028,-2089.172,-2078.165,-2095.701,9.813,9.799,9.752,-6.529,11.007,-1.983,9,0.418,1.037,-6.027,-1.742,4.27,6.292,-1.514
hc_c32h16_0pent_7,c1ccc2c(c1)cc1c3cccc4ccc5c6cccc7ccc8cc2c1c(c8c76)c5c43,-9.583,-7.881,1.702,0.026,-2089.364,-2078.105,-2095.587,9.825,9.799,9.75,-6.223,11.259,-2.006,9,0.226,0.759,-6.352,-1.398,4.946,6.655,-1.142
hc_c32h18_0pent_102,c1ccc2cc3c(cc2c1)cc1c2cc4ccccc4cc2c2cccc4ccc3c1c42,-9.676,-7.777,1.899,0.025,-2115.833,-2104.497,-2121.959,10.371,10.326,10.27,-6.126,11.337,-1.926,8,0.234,0.754,-6.497,-1.265,5.226,6.768,-1.024
